State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community vitality,1D: Education,1Di: 8th grade test scores,2: Health & Environment,2A: Physical health,2B: Mental health ,2C: Environmental health,3: Freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,5: Living Standard,5A: Current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Hawaii,2009,5.36187351243441,6.2626608023042865,5.58699373871816,2.2432477407470293,7.354591767968164,8.923365464524954,7.762927888178539,7.644241833782914,6.558541830752705,9.086,3.6039655830712487,5.842206242245728,5.857832728119898,5.318882910243683,5.826579756371558,5.9700751815750595,7.496602324844295,4.443548038305824,4.6445,6.215359381246049,5.749860631837841
Idaho,2009,4.724176907899914,4.316010481817163,4.670597294727892,2.3477496053570435,7.56235024969756,9.577147785839232,7.2218103533182445,7.392031059954735,5.149,9.1244,5.173802706447552,7.057340230740174,7.858600179123876,6.7264469373004605,6.2560802823564705,4.821685210454198,7.495620420908395,2.1477500000000003,4.2955000000000005,7.26912284873197,6.069356509474942
Illinois,2009,3.5073994473508927,4.432721538775818,4.097880897597654,2.1066758028182204,3.392319550211877,9.32577961012515,7.690826218684904,7.089666202356926,6.927812453697787,9.055,4.202142741120561,6.193880132605341,6.907260262091354,6.687396663879954,5.480500003119328,5.512071793634146,7.877186501492266,3.146957085776026,4.545999999999999,5.774090368463909,5.577696523655415
Indiana,2009,3.9478578355891094,3.344429472901317,3.8979287243154928,1.7226666666666668,6.826406478472961,9.47757445992879,7.317102364585537,6.708647900349387,6.202659193407222,9.040000000000001,5.5262049732617164,6.345712866521007,7.343371598604228,7.257409137882263,5.3480541344377865,5.130010445837234,7.428801898634786,2.831218993039683,4.4015,6.068026068766998,5.760284490964816
Iowa,2009,5.176479649096976,5.143635317536367,7.081928595223585,3.0706958093832886,5.409658874244663,9.51229120049134,7.654423441596371,7.0279257100849994,6.665344614704111,9.27,5.168808337918843,6.9909267118435885,8.30697136879057,6.867663819075252,5.674882054896607,6.527753727045658,8.206367330544145,4.84914012354717,4.9195,7.212469590608806,6.036131724440488
Kansas,2009,5.082265756664234,4.326430722232668,6.2246837777567094,3.142902117817284,6.6350464088502745,9.69897637242726,7.412683403648707,6.90674310550245,6.187307105443669,9.144000000000002,5.513023876826852,6.780083183718548,8.145793114291926,7.426753723896326,5.41437325314517,6.133648896239384,8.058359841472047,4.208937951006721,4.9705,6.318173595555867,5.971823264472017
Kentucky,2009,3.1012275729916112,1.6016479857040895,2.9829874447915365,2.3972433810587024,5.423031480412117,9.488391216787054,7.073068755113908,6.337115130576874,5.9830911347648525,8.899000000000001,5.082359178198047,6.101707322835023,7.031697987703957,7.842902712175475,5.171716657966089,5.479811514172531,7.355774082013375,3.6038489463316874,4.3985,6.548793429632006,5.6045655766121305
Louisiana,2009,3.5593677155503594,2.5901124026760547,4.391321429408463,3.9511817938212084,3.3048552362957095,8.903987742682387,7.189718748498549,6.285353755276479,6.520402490219172,8.763399999999999,4.388049106959363,6.0373999171316175,7.076297750535163,8.863917018160155,4.998502083728071,6.017144763170678,7.725183465966847,4.309106060374509,4.673,4.1308119317842715,4.968590756438755
Maine,2009,4.232054224262344,4.654433654136143,5.007796518478788,2.163811710443049,5.102175013991395,9.611003311953988,7.494682473406326,7.2163634649813355,6.168483955237644,9.0992,4.820908868764099,5.846873861659806,6.749430334090071,4.835501629508244,4.944317389229541,5.727193573396182,7.689905829229432,3.7644813175629306,4.2615,7.67735360091703,5.490998275983654
Maryland,2009,5.489671340462941,7.681343244624738,5.972060127687513,2.2103081202771,6.0949738692624145,9.432524968381733,7.717533805080684,7.119745445083619,6.917655970158431,9.115200000000002,4.284040461649459,6.143550853891037,6.964449968002913,6.524750059931585,5.322651739779161,5.9686878100708824,8.150948103396855,3.786427516744909,4.786,4.873847012052009,5.270465965550173
