State,Year,Summary Score,1: Opportunity,1A: Poverty,1Ai: Poverty rate,1Aii: Income of the bottom 20%,1B: Employment,1Bi: Unemployment rate,1Bii: Long-term unemployment rate,1Biii: Labor participation rate,1C: Community vitality,1Ci: Perceived community improvement,1Cii: Employment growth,1Ciii: Percent increase in businesses,1D: Education,1Di: 8th grade test scores,1Dia: Reading,1Dib: Math,1Dic: Science,1Dii: High school dropout rate,1Diiia: Prevalence of charter schools,1Diiib: Educational Freedom,2: Health & Environment,2A: Physical health,2Ai: Male life expectancy,2Aii: Female life expectancy,2Aiii: Obesity rate,2B: Mental health ,2Bi: Suicide rate,2Bii: Prevalence of worrying,2Biii: Prevalence of anger,2C: Environmental health,2Ci: Satisfaction with location,2Cii: Access to safe water,2Ciii: Access to fruits and vegetables,2Civ: Access to medicine,2Cv: Access to a safe place to exercise,3: Freedom,3A: Personal freedom,3B: Economic Freedom,4: Community & Relationships,4A: Community life,4Ai: Volunteer rate,4Aii: Religious Engagement,4Aiia: Importance of Religion,4Aiib: Religious attendance,4B: Family life,4Bi: Prevalence of marriage,4Bii: Prevalence of divorce,4Biii: Children in single parent families,4Biv: Time spent with friends and family,5: Living Standard,5A: Current living standard,5Ai: Personal income per capita,5Aii: Perceived current standard of living,5B: Improvement in living standard,5Bi: Personal income per capita growth,5Bii: Perceived improvement in living standard,5Biia: Perceived improvement in personal living standard,5Biib: Perceived improvement in personal financial situation,6: Peace & Security,6A: Violent crime rate,6B: Property crime rate,6C: Perceived local safety,6D: Trust
Washington,2003,5.522725121241399,4.959789525187524,5.469976632683583,3.9135260171399366,7.026427248227228,5.723082854548174,7.606595868730238,3.8366817437171123,5.725970951197175,4.9431361440774495,5.981999999999999,3.1873509549443755,5.6600574772879755,3.7029624694408927,9.444039800467717,9.594770829445164,9.468810281769603,9.268538290188387,1.6648476078549603,0.0,2.7669857793842145,7.7244805725862244,7.645088311902957,9.788152017447977,9.786539880844272,3.3605730374166214,6.3589534058557176,3.4058602175671506,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,5.382711234874932,5.669213877425201,5.096208592324665,6.207699322803364,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.562769835224026,8.85690443206975,1.3622614679036,3.0856753288480774,8.946238112074676,6.064462005863773,7.818285850863969,8.209571701727938,7.427,4.3106381608635775,3.797276321727156,4.824,4.471,5.1770000000000005,5.552947407989753,5.85374996556134,2.5537355517346265,6.995999999999999,6.808304114663045
Washington,2004,5.660309129069586,5.535201464686515,5.75980872710549,4.493190205983752,7.026427248227228,6.484483953364044,8.125227405234572,5.602253503660386,5.725970951197175,6.3409505057385855,5.981999999999999,5.398386720634717,7.6424647965810415,3.5555626725379383,9.466918193085613,9.597717986063827,9.534498303004625,9.268538290188387,1.1997698245282025,0.0,2.7669857793842145,7.703226132773206,7.632442355118417,9.857012475675932,9.832723740340654,3.207590849338663,6.307836043201199,3.2525081296035965,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,5.286071496853893,5.553314551325347,5.018828442382438,6.313604536859945,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.774580263337185,9.255555076612035,2.0492775244743653,2.847250340187666,8.946238112074676,6.531124882325553,7.945597793530121,8.464195587060242,7.427,5.1166519711209855,5.409303942241972,4.824,4.471,5.1770000000000005,5.485949610603767,5.893192528587132,2.4101346158974164,6.995999999999999,6.644471297930522
Washington,2005,5.639830018116556,5.952030915435872,6.049640821527397,5.0728543948275675,7.026427248227228,6.470786111051402,8.427762468195434,5.197715786336888,5.786880078621884,6.691001740583546,5.981999999999999,6.5079042656098025,7.583100956140836,4.596694988581143,9.489796585703507,9.60066514268249,9.600186324239646,9.268538290188387,4.300288380039922,0.0,2.7669857793842145,7.695109623684214,7.522897223427247,9.851435088984394,9.846226545730193,2.8710300355671556,6.393031647625396,3.508094942876188,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,5.1894317588328525,5.437415225225493,4.941448292440212,6.396484257590945,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.940339704799188,9.640591360599396,1.8504290290141905,3.324100317508487,8.946238112074676,6.06056124301675,7.8742615073742295,8.32152301474846,7.427,4.246860978659269,3.669721957318539,4.824,4.471,5.1770000000000005,5.418206548871048,5.864507028204738,2.342327412824884,6.995999999999999,6.469991754454571
Washington,2006,5.690279512583837,6.141540163171547,6.580999661300895,6.135572074374563,7.026427248227228,7.246673334034251,8.6870782364476,7.326970814457974,5.725970951197175,6.709988575871723,5.981999999999999,7.2135551553308925,6.9344105722842775,4.028499081479317,9.490494069929474,9.605947394953507,9.596996524646526,9.268538290188387,2.595003174508477,0.0,2.7669857793842145,7.695487807259343,7.4558752906132755,9.900727232129688,9.871236542683306,2.5956620970268314,6.461188131164754,3.7125643934942594,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,5.092792020811812,5.3215158991256395,4.8640681424979855,6.210441316701694,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.568253823020683,9.45727395599363,0.7838278951663489,3.0856753288480774,8.946238112074676,6.409461094050198,7.991152610915499,8.555305221830999,7.427,4.827769577184897,4.831539154369794,4.824,4.471,5.1770000000000005,5.51524840670805,5.832235840274543,2.9372455755790403,6.995999999999999,6.29551221097862
Washington,2007,5.683312601747418,6.089531057805798,6.381492832919004,5.0728543948275675,7.69013127101044,7.155916302732582,8.816736120573685,6.803223581577456,5.847789206046602,6.533606973057661,5.981999999999999,6.941468505690999,6.677352413481982,4.287108122513948,9.491191554155437,9.611229647224523,9.593806725053406,9.268538290188387,3.370132813386407,0.0,2.7669857793842145,7.60142716373279,7.292967206227494,9.926556638390222,9.876822322730487,2.0755226575617742,6.341914284970877,3.3547428549126326,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,4.9961522827907725,5.205616573025785,4.786687992555759,6.2570678857816695,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.661506961180635,9.401237278175099,1.2128771256246882,3.0856753288480774,8.946238112074676,6.3420039147374,8.086196272281589,8.745392544563177,7.427,4.597811557193211,4.371623114386422,4.824,4.471,5.1770000000000005,5.730020127999283,5.978053800551717,3.6624537913501647,6.995999999999999,6.283572920095253
Washington,2008,5.70915659600784,5.51781689985825,6.312875666030811,4.9762436966869315,7.6495076353746905,7.124660692943446,8.47098176290413,6.750665472756045,6.152334843170164,4.645483691618885,5.981999999999999,6.4444905895626325,1.509960485294024,3.988247548839857,9.52476539978668,9.646958527685769,9.658799381485885,9.268538290188387,2.4399772467328904,0.0,2.7669857793842145,7.592743582054773,7.28395558207828,9.92621542752087,9.88072509876779,2.0449262199461824,6.324875164086038,3.3036254922581145,6.939,8.732,9.1694,8.716,9.658999999999999,9.118,9.144,9.209999999999999,5.056308077800415,5.293938412265435,4.818677743335394,6.348540489299685,6.852628810382703,8.487069755908228,5.218187864857178,5.2,5.236375729714357,5.844452168216666,9.591524807524975,1.515945435758529,3.324100317508487,8.946238112074676,6.853560250142899,8.148931199868652,8.870862399737305,7.427,5.558189300417146,6.292378600834291,4.824,4.471,5.1770000000000005,5.828141093514641,6.005544071751513,4.039386673095164,6.995999999999999,6.271633629211887
Washington,2009,5.443586188998213,4.650559330871727,5.685942212328836,4.348274158772798,7.023610265884875,5.30704465275115,6.7422099745563475,3.0874982679516574,6.091425715745446,3.093058535104697,5.707,3.57217560531409,0.0,4.516191923302224,9.55833924541792,9.682687408147013,9.723792037918363,9.268538290188387,3.9902365244887505,0.0,2.7669857793842145,7.541591275116924,7.22108269058592,9.975742313482296,9.917947476869607,1.7695582814058584,6.1880911347648535,3.15027340429456,6.729000000000001,8.685,9.2156,8.754999999999999,9.666,9.290000000000001,9.17,9.197,5.116463872810057,5.382260251505084,4.85066749411503,6.298510291080655,7.003266662414974,8.6633590386719,5.3431742861580505,5.300000000000001,5.3863485723161,5.5937539197463355,9.271830787239011,1.7081524341802465,2.847250340187666,8.547782117378421,5.838758842805686,8.027744768107379,8.588489536214757,7.4670000000000005,3.6497729175039937,2.6180458350079876,4.6815,4.186,5.1770000000000005,5.892233930918232,5.9804442589169176,4.237797126427494,7.090999999999999,6.25969433832852
Washington,2010,5.380008460789837,4.48305834490989,5.33662493168632,4.396579507843116,6.276670355529524,4.376452907590829,6.526113501012874,1.1818199076859985,5.421425314073613,3.438532843652205,5.795,1.8349219283902358,2.68567660256638,4.780622696710206,9.576501926763937,9.694655867087477,9.713442345704804,9.32140756749953,4.76536616336668,0.0,2.7669857793842145,7.5822566362320964,7.292474378355634,9.975742313482296,9.917947476869607,1.983733344714999,6.170895530340656,2.894686591021969,6.894,8.724,9.2834,8.797,9.758,9.326,9.186,9.350000000000001,5.122466933604924,5.279649337434446,4.965284529775403,6.162710892102732,6.795374646005388,8.285596289892602,5.305153002118173,5.300000000000001,5.310306004236344,5.530047138200075,8.82175615862334,1.9733278282681637,3.0856753288480774,8.239429237060719,5.574087650483378,8.106453958271752,8.595907916543503,7.617000000000001,3.0417213426950047,1.340442685390009,4.743,4.604,4.882000000000001,5.968492988811616,6.252956512549669,4.207260395251642,7.166,6.247755047445153
Washington,2011,5.298950652981182,4.208774152615722,5.023220978296328,3.9618313662102547,6.084610590382401,3.9127124987304307,6.828648563973736,0.4017005295146304,4.507788402702926,3.112486209610585,5.742000000000001,0.9097820262653747,2.68567660256638,4.786676923825545,9.594664608109953,9.70662432602794,9.703092653491245,9.374276844810675,4.76536616336668,0.0,2.7669857793842145,7.53610226813801,7.2618779407400424,9.975742313482296,9.917947476869607,1.8919440318682244,6.11222886367399,2.894686591021969,6.788,8.654,9.234199999999998,8.789,9.719,9.203,9.163,9.297,5.128469994399792,5.177038423363807,5.079901565435776,6.001966136237093,6.956615653447821,8.6633590386719,5.249872268223744,5.2,5.299744536447489,5.047316619026365,8.36974823524487,0.0,2.847250340187666,8.972267900672923,5.3737355597699885,8.105043612612178,8.585087225224358,7.625,2.642427506927799,0.39485501385559824,4.89,4.3759999999999994,5.404,6.076620680323451,6.470488223782831,4.3951787409491905,7.204999999999999,6.235815756561786
Washington,2012,5.449091232217358,4.6196612412242875,5.027128341619065,4.393758836109303,5.660497847128827,4.78750282208656,7.260841511060682,3.081151571893769,4.020515383305228,3.8648912504869766,5.937,2.97199714889455,2.68567660256638,4.79912255070455,9.63200148874697,9.787495197804882,9.734232423625354,9.374276844810675,4.76536616336668,0.0,2.7669857793842145,7.532281233377258,7.231281503124451,9.975742313482296,9.917947476869607,1.8001547190214493,6.120562197007324,2.894686591021969,6.782,8.685,9.245000000000001,8.697000000000001,9.723,9.288,9.193999999999999,9.323,5.128469994399792,5.177038423363807,5.079901565435776,5.967117962179748,6.963398937789928,8.688543221923853,5.2382546536560035,5.2,5.276509307312007,4.9708369865695685,8.40021466576427,0.0,2.847250340187666,8.635882940326338,6.112756955246707,8.116555195514087,8.661110391028172,7.572,4.108958714979327,2.895417429958653,5.3225,5.121,5.524,6.016365459709504,6.466902536235031,4.270682836924564,7.104,6.22387646567842
