State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community basics,1Cii: Communications infrastructure,1D: Entrepreneurship,2: Health & Environment,2A: Physical health,2B: Mental and emotional health,2C: Environmental health,3: Freedom,3A: Political freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,4Bi: Prevalence of marriage,4Bii: Prevalence of divorce,5: Living Standard,5A: Current living standard,5Aii: Perceived current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Bahrain,2009,7.6135613105448625,,7.088981339469437,7.845938795450022,6.325176924233377,8.359325107259993,8.598347246568995,8.980139781299835,8.216554711838155,,5.241006571560845,1.6666666666666667,6.632284935749436,5.885821445777291,8.111642891554581,7.3787484257215805,7.395919383706709,7.361577467736452,5.534203701378669,7.213903858163753,6.6,3.8545035445935856,4.65,7.711044864212286,6.888408105002515
Bangladesh,2009,5.4679787611237884,2.3764511938765747,6.650873866444018,3.728829573273179,1.8891659465463577,7.6737391720251695,5.468387825772877,7.364315152650868,7.359999999999999,1.6808483246677632,5.3008673807859035,3.7833333333333337,6.961041784649158,5.187192490012052,8.824384980024103,8.734891079286264,9.773179185612438,9.999999999999998,5.059842586441543,3.9363812446907027,5.449999999999999,6.183303928192384,5.550000000000001,5.5969503717900215,5.642511451760548
Belarus,2009,6.841115714624128,8.144261593810379,4.513146396592937,8.636957437747888,7.3122088754957755,7.691213144969438,7.006635289479861,8.561304362916328,5.2275919003129525,7.231009605210303,1.9666666666666666,0.6,3.8260077664221077,2.5291944161488438,2.548388832297688,5.122821116695372,6.545281695172697,0.8830676129407946,4.838480134833546,5.073646473643747,3.55,4.603313796023345,1.5,5.248257361930703,4.954527155659501
Belgium,2009,7.9844162078114165,10.0,3.9896583106080574,10.0,10.0,8.572422728449025,8.367981773922091,9.443561751140887,7.3105859813093135,8.349797589316076,8.283267101761993,5.85,4.417164902203082,3.149898933029991,2.7197978660599818,5.684430871376172,5.249200471451147,3.319658471691903,5.386011875991963,7.699513998176683,6.775,3.0725097538072426,2.35,7.918354217290767,7.059532679830219
Belize,2009,5.594991817284141,5.688133958607478,5.322789909245847,5.192738659142677,3.355635318285355,6.8112965594247,7.385095415417641,8.594490931330402,8.11,5.450795314922523,7.49992277226328,6.15,5.745104487508133,5.045548987212433,6.581097974424866,6.444659987803834,4.585861935155533,8.471832339984935,4.357166779561457,5.081440252845461,4.65,3.6328933062774524,3.6500000000000004,4.948682122442548,5.921827232412866
Benin,2009,4.857639817655925,2.444738651362429,7.740051792106362,2.9836334002633293,3.097055800526659,6.656441911214171,5.33589853436154,6.795662284734296,7.361666666666666,1.8503666516836577,7.404020021929422,5.95,5.4702057479932,4.803428488080878,7.44019030949509,6.136983007905521,6.761983436531848,8.153104227415515,3.086845935371918,2.2859162778358586,2.25,3.8877755929079774,3.1708333333333334,6.044826351237809,5.366572734758303
Bolivia,2009,6.4280525192454006,5.332642010344578,7.122865207894625,6.405833541127185,3.6948850822543724,6.958921836860616,6.029519034497434,6.82538132819109,8.440000000000001,2.8231757753012103,6.858318546112672,3.8833333333333337,5.7230343226094025,4.876197772906095,6.67239554581219,6.569870872312709,5.018659581800981,8.680788733868225,4.805638004232778,4.5861225993737165,4.6,5.02515340909184,4.35,5.466994231570953,5.885259443044773
Bosnia And Herzegovina,2009,5.560371606091969,7.3208827111087045,0.24255713483193816,7.8108009824745395,5.84569487403999,6.78761720204466,6.898289590334194,8.872762512220458,6.235227297508459,5.586878961273665,4.354166666666667,3.25,5.946362792745619,3.914497263606072,5.918994527212144,7.978228321885165,5.972279852549157,8.891924341502225,3.8348198438722627,4.157701256419949,2.65,3.5119384313245767,1.2000000000000002,6.155972563706185,5.458330510569483
Botswana,2009,5.974765475715252,4.347222131074131,4.846956041867891,6.755425835108889,5.099320170217777,7.80422337052535,5.7415508585647395,5.804802015039048,7.709999999999999,3.709850560655172,7.959381167136158,6.166666666666666,5.351634619249276,4.752978824719272,6.240957649438545,5.950290413779279,2.245189812910965,8.680788733868225,5.52404490779377,6.138535857556132,5.6,4.909553958031408,5.574999999999999,7.368336150207134,6.319952196444388
Brazil,2009,6.276028106275199,6.403728385944925,5.891200223372308,7.426358429371621,5.822895858743242,6.188853492687136,7.315929180083688,8.62093743771279,8.586851713395923,4.739998389142352,7.405680407401055,4.766666666666667,5.596558652174851,4.61059100922861,6.26118201845722,6.582526295121091,6.075219493759083,7.361577467736452,5.78771396970006,6.198044077068542,6.2,5.377383862331578,5.25,5.445855232770597,6.304627591400909
Bulgaria,2009,6.753492468414407,8.017298290877173,4.326905505325298,8.711789522693836,7.591312045387672,7.711469023175728,7.713785640965072,8.71125092236371,6.080308411215429,8.349797589316076,6.057831008029518,4.816666666666667,4.410066094681776,2.0331675226651886,2.3563350453303773,6.7869646666983625,5.199498857085009,6.7909850349861465,3.7150959185480525,4.255888033206846,1.95,3.1743038038892593,0.8,6.169736011333082,5.803334523661984
Burkina Faso,2009,4.988113782094406,2.580600087627331,8.534983653009794,2.0759423775713364,1.2789637551426731,7.9340427922635675,4.857241683396289,5.665987287454798,7.154999999999999,1.7507377627340697,6.108333333333333,2.0166666666666666,6.413695531269364,4.973951640486547,7.782903280973094,7.8534394220521815,6.867639427727658,9.340394366934111,3.5045784092294032,2.269578278111667,2.5,4.739578540347139,4.825,6.128655357009677,5.333436349388745
Burundi,2009,5.457156917591805,1.6941482135091666,8.919849920303903,4.645251002810189,0.5957150056203813,6.746535451335762,4.362273276871035,4.430270248251842,6.33,2.3265495823612614,5.309795060814129,3.7,6.250783710465681,5.122886401526279,9.025772803052558,7.378681019405083,7.527989372701472,8.680788733868225,2.3658037600543116,0.8961517031626536,1.5,3.835455816945969,3.1500000000000004,5.707679165924283,4.908915315286873
Cambodia,2009,6.400899224162416,4.003628841574247,9.022844211857745,4.90137766163485,2.412753323269702,5.796645405745242,5.427979224632243,7.001066093588483,7.505,1.7778715803082454,5.979166666666667,1.2833333333333334,5.011392076674729,3.696708058692835,5.753416117385671,6.326076094656622,7.792129350690997,7.361577467736452,4.923455346227659,4.5178657966870395,6.05,5.329044895768277,4.35,5.8052534371655575,5.591357662588211
Cameroon,2009,5.823580828604048,5.080374077251447,6.82704431486872,4.657435286512801,2.206172573025602,7.1630504643872746,5.3941419636843335,6.324087696210264,7.875,1.9833381948427364,5.15195204680297,1.0833333333333335,5.864196871276059,5.341293996416669,7.782587992833337,6.38709974613545,5.94314950476432,7.361577467736452,3.4653050438491753,3.1126810120091433,3.15,3.8179290756892073,3.5,5.233026822428859,5.155367262774241
Canada,2009,8.066707902572459,10.0,5.5311040767683535,8.735545716792684,8.735545716792684,9.016889719301263,8.635749117004444,9.489768725871109,8.067681035826146,8.349797589316076,8.727749060044854,6.4,4.928976640044445,4.345617881216814,3.151235762433627,5.512335398872075,4.96830721063748,4.770911383098706,6.553993574917528,8.400051147377038,8.05,4.707936002458018,6.0,8.753555920717057,7.611122035883464
Chad,2009,4.026684540921399,2.0037947411772277,7.608016721505949,2.22067690278458,1.1024936627120174,5.200934339139237,4.343075339161813,4.6738217041234735,6.9399999999999995,1.4154043133619665,3.2572148578250406,0.1,6.377929237553318,5.597230479539585,8.454460959079169,7.158627995567052,8.056269328680523,7.361577467736452,4.4221720353538885,4.10434077530661,5.45,4.740003295401168,5.25,2.736107919411976,4.193863988371239
Chile,2009,6.907844549832083,7.331045174475291,4.162356568526491,8.416576779510528,6.977786559021056,8.289244226648107,7.770026807765073,9.25638190374178,7.731249688474162,6.322448831079279,8.224234137129496,6.0,5.586567788465113,4.242676972573618,4.685353945147237,6.930458604356608,4.10595481725786,9.190243020524953,5.183743166542493,5.869598487489904,4.8,4.4978878455950815,4.15,6.973648421993676,6.77434414528799
China,2009,6.689710965869419,5.492748103451753,6.908358222406468,7.008168088085436,4.545931776170873,7.429280415403439,6.179452626550621,8.36841970575505,7.945,2.2249381738968137,2.9576582078594122,0.0,3.890932859802103,1.42,,6.361865719604206,8.296205958545649,7.059906507249761,7.305343004835972,5.682888497869569,6.0,8.927797511802375,8.05,5.420058462925697,5.407192687973871
Colombia,2009,6.693112434304991,5.900447559299676,4.827960978914463,7.5675714710471,5.8106739420941995,8.74958216226372,7.052328485173156,8.658145076174154,8.551238278816504,3.9476021005288087,6.460254137285953,3.4833333333333334,5.986639636325879,5.184908520876231,6.809817041752463,6.788370751775528,3.8300296808481176,8.680788733868225,5.275920825804431,5.637366284085706,5.35,4.914475367523156,4.4,3.4366371411576146,5.8174821100086715
Comoros,2009,3.898225103417798,2.9426816202634214,2.0564132120669285,4.166255577853389,0.9067249738885959,6.445775106905252,4.696125640560658,4.841241207760033,7.220000000000001,2.027135713921941,4.758333333333333,4.033333333333333,5.557443764520551,5.049502822375737,7.289005644751473,6.065384706665365,7.131779405717184,4.723154935472904,2.639609024699616,2.0929063211370487,2.3,3.186311728262183,3.15,5.767416234352113,4.552858850147344
"Congo, Dem. Rep.",2009,3.5327845184677926,1.6580001796809147,7.038864870473331,3.450495475659824,0.780436951319649,2.9465620665248946,4.4569077241819555,4.9308715287692335,7.26,1.1798516437766304,4.6257463733467254,0.9833333333333334,5.775013330935604,5.012478406780117,7.864956813560233,6.5375482550910915,6.339359471748608,7.361577467736452,2.721492448308263,1.5,3.0,3.942984896616526,2.65,2.7037828728646374,3.9692878780174965
